Videos,Date,Celebrity,eye:winged,eye:effect,eye:smokey,eye:glitter,liner:just_eyeliner,liner:graphic liner,liner:winged,liner:lower_accent color,lip:effect,skin:darker,skin:paler,skin:effect,occasion:day,occasion:day_event,occasion:work,occasion:work_creative,occasion:work_party,occasion:evening,occasion:evening_party,occasion:evening_blacktie,occasion:masquerade,occasion:bridal,occasion:first_date,lip:bold,style:classic_graphic,style:classic_outline,style:glam_classic,style:glam_outline,style:urban_glam,style:edgy,style:trendy,style:boho,style:casual_chic,style:retro,eye_color:white,eye_color:pink,eye_color:peach,eye_color:red,eye_color:orange,eye_color:coral,eye_color:yellow,eye_color:green,eye_color:turquoise,eye_color:lightblue,eye_color:blue,eye_color:plum,eye_color:purple,eye_color:silver,eye_color:gold,eye_color:nude,eye_color:copperbronze,eye_color:brown,eye_color:taupe,eye_color:grey,eye_color:black,lip_color:brownbronze,lip_color:nude,lip_color:red,lip_color:berryplum,lip_color:softpink,lip_color:brightpink,lip_color:other,eyes:enhance,eyes:use,eyes:create,lips:use,lips:create,face:create,face:use,face:fix,face:use,skin:fix,skin:care,nails:create,hair:care,hair:create,looks,tools:product,tools:care,tools:use
S6Ly-q6Opk4,17-Aug-10,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,x,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
NQ3WwvktE48,21-Aug-10,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,x,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
9mMYpARuNLE,27-Jul-10,,x,,,,x,x,x,,,,,,,,,,,,x,,,,,x,,,,,,x,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,
MwdnQC-ZrXA,19-Aug-10,,,,,,x,,x,,,,,,,,,,,x,,,,,,,x,,,,,,,,,x,X,,,,,,,,,,,,,,,x,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
XD7d1ppdDvI,9-May-11,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
lJAb8eKkUAk,5-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,x,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
SiOeEfmE1TI,30-Mar-11,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
I1ZUDe5J0Js,28-Sep-10,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
lT7pUpgmL4w,30-Mar-11,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,x,x,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
BvqsvEW0lo8,15-Aug-10,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
i159XOszLtk,27-Dec-09,,,,,x,,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
JJJTPO7X-qs,12-Feb-11,,,,x,,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,
jwbggXSCe7c,15-Apr-11,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,,,x,,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
KXvexo0iEeA,30-Oct-10,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
vHdC9fIesrI,9-Oct-10,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
vWBuh7Tmp_A,27-Feb-11,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Xkok_ZJvNDM,8-Jul-10,,,,,,,,x,,,,,,,x,,,,,,x,,,,,,x,x,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
yeFyRA5Zg_E,8-Nov-10,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,
icDpNPt2qrQ,24-Apr-11,,,,x,,,,x,,,,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
SaQL-ilyGpo,21-Feb-10,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,x,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
x78xsafd0fk,13-Sep-10,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,x,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
J_h-8bp4nBI,11-Apr-11,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,x,x,,x,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
hE-zsYqYR3U,12-Aug-10,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,X,,,,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
g2ut7APScvE,30-Jun-10,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
OqYIPotrUZY,2-Apr-11,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
vUeQUCPtCwY,2-Jun-10,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,x,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
KroAzY4g7JQ,14-Jul-10,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,X,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,
MCEXolyYzp8,18-Apr-11,,,,,x,,,,,,,,,,,,,,,x,,,x,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
0M_ICQKviOE,27-Mar-11,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
0R1FdnPr4Kg,30-Apr-10,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
3uFgQOfy7_4,15-Apr-11,,,,,,,x,x,,,,,,,,,,,,x,,,,,x,,,,,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
YbKbuhyP__g,31-Mar-10,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
_0506pw0CRA,12-Jan-11,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,
hktu5DrQS-0,3-Mar-11,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,x,,,x,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
IctAlE5N8iw,12-Jul-10,,,,,,,,,x,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
uMjNDcD0mR8,10-May-11,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
XV202NoIGa0,2-Nov-10,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
y9ib0NtfrQU,25-Mar-10,,,,,,,,,x,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
-ojsjp9ksOE,2-Oct-10,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
1ikmb-2yGZ0,9-Jan-11,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,
3-QV8d8Rx0M,28-Mar-11,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,
4eHe1XEQvMs,28-Nov-10,,,,x,,,,x,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
7_rJdRT-UE8,23-Sep-10,,,,,x,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
7FkM7p4qgMw,24-Oct-10,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
KFXc_vQkVz4,8-Mar-11,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
kuLFGTr7SiA,13-Nov-10,,,,x,,,,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
ojziz6x9Css,5-Jan-11,,,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
sxwrFzg6JgI,26-Oct-10,,x,,,,,,,x,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
Tc932NaZykU,7-Mar-10,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
V6XaPPFOBxM,30-Apr-11,,,,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
_3hTICl-9Ik,31-Aug-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
_6vs7Vmqk40,21-Jan-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
_bn1zrrcdUE,8-Feb-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
_C_Enk7CtII,27-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
-jKEcUoxqL4,11-Dec-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
-mItP5g9d4M,25-May-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
05O1VcQuE0k,24-Nov-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
18c9WGZW6K0,5-Apr-11,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,x,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
1EBtv8OlPFg,13-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
1r8KG5_P4D8,16-Feb-11,,,,,,,,,,,x,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2D5BmTY_sZs,24-Jan-11,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
2gRVR4Ef3Mk,19-Nov-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
2S1QtrmpeUg,20-Nov-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
2sk3rxcIU_g,8-Feb-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
2vV2V-jhIAw,5-Mar-10,,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,x,,,,,,,,x,,,,,,x,,,,,,,,,,,,,x,,,,,,,
3BnHPyoLUFs,28-Dec-10,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
3IJOScwH1x0,18-Jun-10,,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
3ODmwOXVjfk,12-Aug-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
414rIJdNYog,14-Jun-10,,,,,,,,x,,,,,,,x,,x,x,x,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
4wwjv5leP1w,24-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
5ClGWakF2Ho,31-Aug-10,,,,,x,,,x,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
5g9jNgKrmS4,4-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
5NlnD9_RSTs,7-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
5zkpMQM_dAQ,10-Sep-10,,,,,,x,,x,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
6eEj3hGCEvo,22-Jun-10,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
6lH-hW79ieM,9-Apr-11,,x,,,,x,,x,,,,,,,x,,x,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
6Tk4N2TyiX4,6-Jul-10,,,,,x,,,,,,,,,,x,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,
7jIPg9bfi4c,4-Nov-10,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,x,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
7lLlcOnDKrU,10-Mar-11,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
7Pv7B2NirqU,21-Jan-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
7xJR_4sU3Dw,9-Jun-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
88vyLwBjqv8,8-Mar-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
8KMXub4Tirs,2-Dec-10,,,,,,,x,x,,,,,x,,,,,,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
8YFJDzJbHU0,18-Jun-10,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
9DEVIi6JCVU,29-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
9EWQbi6cxrw,6-Aug-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
9pwZP8cHfac,17-Aug-10,,,,x,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
9QOIu34jfFA,13-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
a7MFt14smlc,12-Oct-10,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
ahc7NTqzGWA,7-Apr-11,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,x,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
amqvRqBvt9Q,17-Jun-10,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
azcvgK5_B4U,10-Aug-10,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
AZo4rOEdRYc,21-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
B3N3XdCSbIk,5-Sep-10,,,,x,x,,,,x,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
B7H1taBxX9g,21-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
BBq5zmbBayo,4-May-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
C6vU48Yn_Bs,23-Dec-10,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CopSL_i22CU,21-Jan-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
CuWaMKGzNZw,29-Dec-10,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
CV4r26d6F0A,15-Apr-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
cWR0rzeA6C0,19-May-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
CXAS1MFPsWg,26-Dec-10,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
D2Sw7x0x2FA,21-Oct-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
D2YduumBIko,16-Dec-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
D8JgNMgPLEI,15-Jan-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
dd04nxx4TOQ,15-Nov-10,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
dDm0hvIccgs,22-Mar-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
dfsjM0SbM6w,7-Mar-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
dVuvgh1Bw0A,30-Dec-10,,,,,x,,,,,x,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
dwbD2Z0iacw,23-Jan-11,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
DWz4NkYnWSE,19-Apr-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
dZmNdJ9_P34,19-Jun-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1fuw7Vabto,30-Jan-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
E42Gg_qMdpg,7-Feb-11,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESzE9aoq7vQ,4-Feb-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
eTGeYrshxwI,10-Dec-10,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
f5y0JiyJZvE,5-Apr-11,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
